word,meaning,level
Abysmal,"Tệ hại, cực kỳ kém",C2
Acrimonious,"Gay gắt, chua chát",C2
Adroit,"Khéo léo, tinh ranh",C2
Adulation,"Sự nịnh hót, tung hô",C2
Aesthetic,Thuộc về thẩm mỹ,C2
Affable,"Niềm nở, ân cần",C2
Alacrity,"Sự sốt sắng, sẵn sàng",C2
Amalgamate,"Pha trộn, sáp nhập",C2
Ambivalent,Mâu thuẫn trong tư tưởng,C2
Boy,Bé trai,A1
Girl,Bé gái,A1
Father,Bố,A1
Mother,Mẹ,A1
Brother,Anh/em trai,A1
Sister,Chị/em gái,A1
Car,Xe hơi,A1
Bus,Xe buýt,A1
Train,Tàu hỏa,A1
Plane,Máy bay,A1
Ticket,Vé,A1
Station,Nhà ga,A1
Airport,Sân bay,A1
Shop,Cửa hàng,A1
Market,Chợ,A1
Price,Giá cả,A1
Bag,Cái túi,A1
Hat,Cái mũ,A1
Shirt,Áo sơ mi,A1
Shoes,Đôi giày,A1
Milk,Sữa,A1
Tea,Trà,A1
Coffee,Cà phê,A1
Rice,Gạo/Cơm,A1
Meat,Thịt,A1
Fish,Cá,A1
Egg,Trứng,A1
Cheese,Phô mai,A1
Fruit,Trái cây,A1
Address,Địa chỉ,A2
Age,Tuổi tác,A2
Ago,Trước đây,A2
Air,Không khí,A2
All,Tất cả,A2
Alone,Một mình,A2
Also,Cũng,A2
Always,Luôn luôn,A2
Apartment,Căn hộ,A2
Area,Khu vực,A2
Arm,Cánh tay,A2
Around,Xung quanh,A2
Art,Nghệ thuật,A2
Aunt,Cô/Dì,A2
Autumn,Mùa thu,A2
Baby,Em bé,A2
Back,Phía sau,A2
Bank,Ngân hàng,A2
Bath,Phòng tắm,A2
Beach,Bãi biển,A2
Desk,Bàn làm việc,A2
Pen,Cái bút,A2
Paper,Giấy,A2
Notebook,Sổ tay,A2
Ruler,Cái thước,A2
Eraser,Cục tẩy,A2
Background,Bối cảnh/Nền tảng,B1
Base,Cơ sở,B1
Basic,Cơ bản,B1
Beauty,Vẻ đẹp,B1
Benefit,Lợi ích,B1
Blood,Máu,B1
Board,Cái bảng/Hội đồng,B1
Boat,Con thuyền,B1
Body,Cơ thể,B1
Bone,Xương,B1
Border,Biên giới,B1
Bottom,Dưới đáy,B1
Brain,Não bộ,B1
Branch,Chi nhánh/Cành cây,B1
Brave,Dũng cảm,B1
Bread,Bánh mì,B1
Break,Phá vỡ/Giờ nghỉ,B1
Breakfast,Bữa sáng,B1
Breath,Hơi thở,B1
Accept,Chấp nhận,B1
According,"Theo như, dựa theo",B1
Account,Tài khoản,B1
Across,Băng qua,B1
Act,Hành động/Diễn xuất,B1
Action,Hành động,B1
Activity,Hoạt động,B1
Actually,Thực sự thì,B1
Add,Thêm vào,B1
Cabinet,Tủ chứa đồ,B2
Cable,Dây cáp,B2
Calculate,Tính toán,B2
Camera,Máy ảnh,B2
Camp,Khu cắm trại,B2
Campaign,Chiến dịch,B2
Campus,Khuôn viên trường,B2
Cancer,Bệnh ung thư,B2
Candidate,Ứng cử viên,B2
Capability,Khả năng/Năng lực,B2
Capacity,Sức chứa/Dung tích,B2
Capital,Thủ đô/Tiền vốn,B2
Captain,Đội trưởng/Thuyền trưởng,B2
Capture,"Bắt giữ, thu hút",B2
Carbon,Cac-bon,B2
Card,Thẻ/Danh thiếp,B2
Care,Sự chăm sóc,B2
Career,Sự nghiệp,B2
Careful,Cẩn thận,B2
Factor,Yếu tố,B2
Factory,Nhà máy,B2
Fail,Thất bại,B2
Failure,Sự thất bại,B2
Fair,Công bằng,B2
Fall,Rơi/Ngã,B2
FALSE,Sai lệch,B2
Familiar,Quen thuộc,B2
Daunting,"Làm nản chí, đáng sợ",C1
Dearth,"Sự thiếu hụt, khan hiếm",C1
Debacle,"Sự sụp đổ, thất bại hoàn toàn",C1
Debilitate,"Làm yếu đi, suy nhược",C1
Debunk,"Bóc trần, vạch trần",C1
Decimate,"Tàn phá, tiêu diệt phần lớn",C1
Decorum,"Sự đúng mực, đoan trang",C1
Deduce,"Suy luận, vạch ra",C1
Defame,"Nói xấu, phỉ báng",C1
Deference,"Sự tôn trọng, chiều theo",C1
Deficient,Thiếu hụt,C1
Definitive,"Cuối cùng, dứt khoát",C1
Deflect,"Làm chệch hướng, đánh trống lảng",C1
Deft,"Khéo léo, nhanh nhẹn",C1
Defunct,"Không còn tồn tại, đã chết",C1
Deleterious,Gây hại,C1
Deliberate,"Cố ý, thận trọng",C1
Delineate,"Phác họa, mô tả chi tiết",C1
Demise,"Cái chết, sự chấm dứt",C1
Demographics,Nhân khẩu học,C1
Facilitate,"Tạo điều kiện, làm cho dễ dàng",C1
Faction,"Bè phái, phe cánh",C1
Fallacy,Ngụy biện,C1
Falter,"Chùn bước, ngập ngừng",C1
Fanatic,Kẻ cuồng tín,C1
Farcical,"Khôi hài, lố bịch",C1
Fastidious,"Khó tính, kén chọn",C1
Fathom,"Thấu hiểu, thăm dò",C1
Ebullient,"Sôi nổi, tràn đầy năng lượng",C2
Eclectic,"Pha trộn, chiết trung",C2
Efficacy,Hiệu quả (của thuốc/phương pháp),C2
Effigy,Hình nộm,C2
Effrontery,"Sự trơ tráo, vô liêm sỉ",C2
Egalitarian,Bình đẳng,C2
Egregious,"Tệ hại, trắng trợn",C2
Elegy,Khúc ca hoài niệm/Bái ca tang lễ,C2
Elicit,"Khơi gợi, moi ra (thông tin)",C2
Elucidate,"Làm sáng tỏ, giải thích",C2
Elusive,"Khó nắm bắt, khó hiểu",C2
Emaciated,"Gầy gò, hốc hác",C2
Embellish,"Tô điểm, thêm thắt",C2
Embezzle,Biển thủ (tiền),C2
Empathy,Sự thấu cảm,C2
Empirical,Dựa trên thực nghiệm,C2
Emulate,"Noi gương, cạnh tranh",C2
Encomium,"Lời tán dương, ca tụng",C2
Endemic,Đặc hữu (bệnh/động vật ở 1 vùng),C2
Enervate,"Làm kiệt sức, làm yếu đi",C2
Facetious,"Bỡn cợt, đùa không đúng lúc",C2
Facile,"Dễ dãi, hời hợt",C2
Fallow,"Bỏ hoang, chưa khai phá",C2
Fatuous,"Ngớ ngẩn, ngu ngốc",C2
Fecund,"Phì nhiêu, mắn đẻ, sáng tạo",C2
Felicity,"Sự hạnh phúc tột độ, sự khéo léo",C2
Fervor,"Sự nhiệt huyết, hăng hái",C2
Fetter,"Trói buộc, kìm hãm",C2
Fiasco,"Sự thất bại thảm hại, trò hề",C2
Fiat,Sắc lệnh,C2
Tree,Cái cây,A1
Flower,Bông hoa,A1
Grass,Bãi cỏ,A1
River,Dòng sông,A1
Lake,Hồ nước,A1
Mountain,Ngọn núi,A1
Road,Con đường,A1
Street,Đường phố,A1
Park,Công viên,A1
Garden,Khu vườn,A1
Computer,Máy tính,A1
Phone,Điện thoại,A1
Television,Tivi,A1
Radio,Đài phát thanh,A1
Movie,Phim ảnh,A1
Music,Âm nhạc,A1
Song,Bài hát,A1
Guitar,Đàn ghi ta,A1
Piano,Đàn piano,A1
Drum,Cái trống,A1
Earn,Kiếm tiền,A2
Spend,Tiêu xài,A2
Save,Tiết kiệm,A2
Cost,Chi phí,A2
Pay,Thanh toán,A2
Sell,Bán,A2
Buy,Mua,A2
Customer,Khách hàng,A2
Manager,Người quản lý,A2
Staff,Nhân viên,A2
Task,Nhiệm vụ,A2
Team,Đội nhóm,A2
Goal,Mục tiêu,A2
Skill,Kỹ năng,A2
Tool,Công cụ,A2
Machine,Máy móc,A2
Engine,Động cơ,A2
Metal,Kim loại,A2
Wood,Gỗ,A2
Plastic,Nhựa,A2
Manage,Quản lý,B1
Method,Phương pháp,B1
Nature,Thiên nhiên,B1
Natural,Tự nhiên,B1
Network,Mạng lưới,B1
Object,Vật thể,B1
Officer,Sĩ quan,B1
Official,Chính thức,B1
Opportunity,Cơ hội,B1
Option,Tùy chọn,B1
Organize,Tổ chức,B1
Original,Nguyên bản,B1
Outcome,Kết quả,B1
Pain,Nỗi đau,B1
Participant,Người tham gia,B1
Partner,Đối tác,B1
Pattern,Mô hình,B1
Perform,Trình diễn,B1
Phase,Giai đoạn,B1
Philosophy,Triết học,B1
Handle,Xử lý,B2
Harmony,Sự hài hòa,B2
Highlight,Làm nổi bật,B2
Household,Hộ gia đình,B2
Identify,Nhận dạng,B2
Illustrate,Minh họa,B2
Impact,Tác động,B2
Imply,Ngụ ý,B2
Incident,Sự cố,B2
Index,Chỉ số,B2
Indicate,Chỉ ra,B2
Individual,Cá nhân,B2
Industry,Ngành công nghiệp,B2
Influence,Ảnh hưởng,B2
Initial,Ban đầu,B2
Initiative,Sáng kiến,B2
Injury,Chấn thương,B2
Inner,Bên trong,B2
Innocent,Vô tội,B2
Inquiry,Sự điều tra,B2
Garner,Thu thập,C1
Garnish,Trang trí (món ăn),C1
Gauge,Đo lường,C1
Generic,Chung chung,C1
Gist,Ý chính,C1
Glaring,"Rành rành, chói lọi",C1
Grapple,Vật lộn,C1
Gregarious,Hòa đồng,C1
Grievance,Lời phàn nàn,C1
Grueling,Cực nhọc,C1
Gullible,"Dễ tin, nhẹ dạ",C1
Habitat,Môi trường sống,C1
Hackneyed,"Nhàm chán, sáo rỗng",C1
Haphazard,Bừa bãi,C1
Harass,Quấy rối,C1
Harsh,"Khắc nghiệt, thô ráp",C1
Hasten,Thúc giục,C1
Havoc,Sự tàn phá,C1
Hazardous,Nguy hiểm,C1
Hectic,Sôi nổi (công việc),C1
Grandiloquent,"Khoa trương, huênh hoang",C2
Gratuitous,"Vô cớ, không cần thiết",C2
Guile,"Sự xảo quyệt, lừa lọc",C2
Halcyon,Thanh bình,C2
Hapless,Bất hạnh,C2
Hegemony,Quyền bá chủ,C2
Heresy,Dị giáo,C2
Hubris,Sự kiêu ngạo,C2
Hyperbole,Phép cường điệu,C2
Iconoclast,Người đập phá thần tượng,C2
Ignominious,"Nhục nhã, đáng xấu hổ",C2
Illicit,"Trái phép, lậu",C2
Imbroglio,"Tình trạng rắc rối, bối rối",C2
Imminent,"Sắp xảy ra, nhãn tiền",C2
Immutable,Không thể thay đổi,C2
Impassive,Bình thản,C2
Impecunious,Túng quẫn,C2
Imperative,"Cấp bách, bắt buộc",C2
Imperious,"Độc đoán, hống hách",C2
Impetuous,"Bốc đồng, dữ dội",C2
Head,Cái đầu,A1
Eye,Con mắt,A1
Ear,Cái tai,A1
Nose,Cái mũi,A1
Mouth,Cái miệng,A1
Hair,Mái tóc,A1
Leg,Cái chân,A1
Arm,Cánh tay,A1
Hand,Bàn tay,A1
Foot,Bàn chân,A1
Cloud,Đám mây,A1
Snow,Tuyết,A1
Wind,Gió,A1
Storm,Cơn bão,A1
Ice,Băng/Đá,A1
Red,Màu đỏ,A1
Blue,Màu xanh dương,A1
Green,Màu xanh lá,A1
Yellow,Màu vàng,A1
Black,Màu đen,A1
White,Màu trắng,A1
Jump,Nhảy,A1
Run,Chạy,A1
Walk,Đi bộ,A1
Swim,Bơi,A1
Fly,Bay,A1
Sing,Hát,A1
Dance,Nhảy múa,A1
Read,Đọc,A1
Write,Viết,A1
Doctor,Bác sĩ,A2
Nurse,Y tá,A2
Pilot,Phi công,A2
Driver,Tài xế,A2
Chef,Đầu bếp,A2
Farmer,Nông dân,A2
Actor,Diễn viên nam,A2
Singer,Ca sĩ,A2
Police,Cảnh sát,A2
Soldier,Người lính,A2
Happy,Hạnh phúc,A2
Sad,Buồn bã,A2
Tired,Mệt mỏi,A2
Bored,Chán nản,A2
Excited,Hào hứng,A2
Nervous,Căng thẳng,A2
Surprised,Ngạc nhiên,A2
Calm,Bình tĩnh,A2
Proud,Tự hào,A2
Shy,Nhút nhát,A2
Spring,Mùa xuân,A2
Summer,Mùa hè,A2
Autumn,Mùa thu,A2
Winter,Mùa đông,A2
Morning,Buổi sáng,A2
Afternoon,Buổi chiều,A2
Evening,Buổi tối,A2
Midnight,Nửa đêm,A2
Today,Hôm nay,A2
Tomorrow,Ngày mai,A2
Success,Sự thành công,B1
Failure,Sự thất bại,B1
Peace,Hòa bình,B1
War,Chiến tranh,B1
Love,Tình yêu,B1
Hate,Sự thù ghét,B1
Joy,Niềm vui,B1
Sorrow,Nỗi buồn,B1
Hope,Niềm hy vọng,B1
Fear,Nỗi sợ hãi,B1
Truth,Sự thật,B1
Lie,Lời nói dối,B1
Secret,Bí mật,B1
Promise,Lời hứa,B1
Mistake,Lỗi lầm,B1
Reason,Lý do,B1
Result,Kết quả,B1
Process,Quá trình,B1
System,Hệ thống,B1
Control,Sự kiểm soát,B1
Preserve,Bảo tồn,B2
Reject,Từ chối,B2
Maintain,Duy trì,B2
Obtain,Đạt được,B2
Retain,Giữ lại,B2
Sustain,Chống đỡ/Duy trì,B2
Contain,Chứa đựng,B2
Reflect,Phản chiếu/Phản ánh,B2
Reveal,Tiết lộ,B2
Conceal,Che giấu,B2
Vital,Thiết yếu,B2
Crucial,Quyết định/Quan trọng,B2
Essential,Cần thiết,B2
Important,Quan trọng,B2
Minor,Thiểu số/Nhỏ,B2
Major,Đa số/Lớn,B2
Primary,Sơ cấp/Chính,B2
Secondary,Thứ cấp/Phụ,B2
Internal,Bên trong,B2
External,Bên ngoài,B2
Abate,Làm dịu đi,C1
Abdicate,Từ bỏ quyền lợi,C1
Abduct,Bắt cóc,C1
Abhor,Ghê tởm,C1
Abide,Tuân theo,C1
Abnormal,Bất thường,C1
Abolish,Hủy bỏ,C1
Abound,Có rất nhiều,C1
Abridge,Rút ngắn,C1
Abrupt,Đột ngột,C1
Abscond,Bỏ trốn,C1
Absolve,Xá tội,C1
Absorb,Hấp thụ,C1
Abstain,Kiêng cữ,C1
Abstract,Trừu tượng,C1
Abundance,Sự phong phú,C1
Abuse,Lạm dụng,C1
Accelerate,Tăng tốc,C1
Accessible,Có thể tiếp cận,C1
Accessory,Phụ kiện,C1
Juxtapose,Đặt cạnh nhau (để so sánh),C2
Kowtow,Khúm núm/Luồn cúi,C2
Labyrinth,Mê cung,C2
Lackadaisical,Uể oải/Chán nản,C2
Laconic,Vắn tắt/Gọn gàng,C2
Languid,Lờ đờ/Thiếu sức sống,C2
Latent,Tiềm ẩn,C2
Lethargic,Hôn mê/Ngoan cố,C2
Loquacious,Nói nhiều/Ba hoa,C2
Lugubrious,Bi thảm/Sầu thảm,C2
Magnanimous,Hào hiệp/Cao thượng,C2
Malaise,Sự khó chịu/Bất an,C2
Malleable,Dễ uốn nắn/Dễ thay đổi,C2
Maudlin,Ủy mị/Sướt mướt,C2
Mendacious,Sai sự thật/Xảo trá,C2
Mercurial,Thay đổi thất thường,C2
Meticulous,Tỉ mỉ/Quá kỹ càng,C2
Misanthrope,Kẻ ghét nhân loại,C2
Modicum,Một chút/Số lượng ít,C2
Morose,Buồn rầu/Khó tính,C2
Multifarious,Nhiều mặt/Đa dạng,C2
Munificent,Cực kỳ hào phóng,C2
Myriad,Vô số/Hàng vạn,C2
Nadir,Điểm thấp nhất/Đáy,C2
Nefarious,Xấu xa/Độc ác,C2
Neophyte,Người mới học/Lính mới,C2
Nihilism,Chủ nghĩa hư vô,C2
Noisome,Mùi hôi thối/Khó chịu,C2
Nominal,Tượng trưng/Nhỏ nhặt,C2
Nuance,Sắc thái (nhỏ),C2
Obdurate,Ngoan cố/Cứng đầu,C2
Obsequious,Khúm núm/Nịnh nọt,C2
Obstreperous,Ngỗ ngược/Làm ồn,C2
Obtuse,Chậm hiểu/Âm u,C2
Odious,Đáng ghét/Ghê tởm,C2
Officious,Lăng xăng/Hay can thiệp,C2
Onerous,Nặng nề/Phiền toái,C2
Opaque,Mờ đục/Không trong suốt,C2
Opulent,Sang trọng/Phú quý,C2
Ostensible,Có vẻ là/Bề ngoài là,C2
Palliate,Làm nhẹ bớt (bệnh),C2
Pallid,Nhợt nhạt/Xanh xao,C2
Paradox,Nghịch lý,C2
Paragon,Mẫu mực/Tuyệt hảo,C2
Parochial,Thiển cận/Hẹp hòi,C2
Parsimony,Sự keo kiệt,C2
Pathos,Sự gợi niềm thương cảm,C2
Paucity,Sự khan hiếm,C2
Pejorative,Cótính miệt thị,C2
Penchant,Thiên hướng/Sở thích,C2
Penurious,Nghèo xơ xác,C2
Perfunctory,Chiếu lệ/Làm cho có,C2
Pernicious,Độc hại/Nguy hiểm ngầm,C2
Perspicacious,Sáng suốt/Minh mẫn,C2
Petulant,Hay hờn dỗi/Cáu kỉnh,C2
Phlegmatic,Lạnh lùng/Bình thản,C2
Pithy,Ngắn gọn súc tích,C2
Platitude,Lời nói sáo rỗng,C2
Plethora,Sự thừa thãi,C2
Polemic,Cuộc luận chiến,C2
Pragmatic,Thực dụng,C2
Precipitate,Làm kết tủa/Thúc đẩy gấp,C2
Preclude,Ngăn ngừa/Loại trừ,C2
Precocious,Tảo hôn/Phát triển sớm,C2
Predilection,Sự ưa chuộng/Thiên vị,C2
Orange,Quả cam,A1
Banana,Quả chuối,A1
Grape,Quả nho,A1
Melon,Dưa hấu,A1
Bird,Con chim,A1
Tiger,Con hổ,A1
Lion,Con sư tử,A1
Bear,Con gấu,A1
Pink,Màu hồng,A1
Purple,Màu tím,A1
Gray,Màu xám,A1
Brown,Màu nâu,A1
Warm,Ấm áp,A1
Cool,Mát mẻ,A1
Tall,Cao lớn,A1
Short,Thấp/Ngắn,A1
Thick,Dày,A1
Thin,Mỏng/Gầy,A1
Rich,Giàu có,A1
Poor,Nghèo khó,A1
Build,Xây dựng,A2
Clean,Làm sạch,A2
Draw,Vẽ,A2
Paint,Sơn/Vẽ tranh,A2
Cook,Nấu ăn,A2
Bake,Nướng bánh,A2
Wash,Giặt/Rửa,A2
Brush,Chải,A2
Wear,Mặc/Đeo,A2
Wait,Chờ đợi,A2
Hurry,Vội vàng,A2
Return,Trở về/Trả lại,A2
Bring,Mang theo,A2
Catch,Bắt lấy,A2
Throw,Ném,A2
Kick,Đá,A2
Hit,Đánh/Đụng,A2
Smile,Mỉm cười,A2
Laugh,Cười lớn,A2
Cry,Khóc,A2
Argument,Cuộc tranh luận,B1
Audience,Khán giả,B1
Author,Tác giả,B1
Average,Trung bình,B1
Award,Giải thưởng,B1
Background,Bối cảnh,B1
Base,Cơ sở/Nền tảng,B1
Behavior,Hành vi,B1
Belief,Niềm tin,B1
Belong,Thuộc về,B1
Beyond,Vượt ra ngoài,B1
Birth,Sự sinh ra,B1
Blank,Trống rỗng,B1
Blind,Mù lòa,B1
Block,Khối/Ngăn chặn,B1
Board,Cái bảng/Lên tàu,B1
Brain,Não bộ,B1
Branch,Nhánh/Chi nhánh,B1
Breath,Hơi thở,B1
Bridge,Cây cầu,B1
Concept,Khái niệm,B2
Conclude,Kết luận,B2
Conduct,Tiến hành/Thực hiện,B2
Consequence,Hậu quả,B2
Conservative,Bảo thủ,B2
Consider,Xem xét,B2
Consistent,Kiên định/Nhất quán,B2
Constant,Liên tục/Không đổi,B2
Construct,Kiến thiết/Xây dựng,B2
Consume,Tiêu thụ,B2
Contact,Liên lạc,B2
Contemporary,Đương đại,B2
Context,Ngữ cảnh,B2
Contrast,Sự tương phản,B2
Contribute,Đóng góp,B2
Convention,Hội nghị/Tục lệ,B2
Convince,Thuyết phục,B2
Corporate,Đoàn thể/Công ty,B2
Council,Hội đồng,B2
Credit,Tín dụng/Công trạng,B2
Deduce,Suy luận,C1
Defy,Thách thức/Bất tuân,C1
Denote,Biểu thị/Chứng tỏ,C1
Depict,Miêu tả/Phác họa,C1
Derive,Bắt nguồn từ/Lấy từ,C1
Deter,Ngăn cản/Làm nhụt chí,C1
Deviate,Trệch hướng,C1
Dictate,Tuyên bố/Ra lệnh,C1
Diminish,Làm suy giảm,C1
Discard,Vứt bỏ/Loại bỏ,C1
Disclose,Tiết lộ,C1
Discourse,Bài diễn ngôn/Đàm luận,C1
Disperse,Phân tán/Giải tán,C1
Displace,Chiếm chỗ/Hất cẳng,C1
Dispose,Sắp xếp/Xử lý,C1
Disregard,Lờ đi/Không bận tâm,C1
Disrupt,Gây gián đoạn,C1
Distort,Xuyên tạc/Bóp méo,C1
Divert,Làm chuyển hướng,C1
Doctrine,Học thuyết/Giáo lý,C1
Quell,Dập tắt/Đàn áp,C2
Querulous,Hay càu nhàu/Than phiền,C2
Quixotic,Hão huyền/Không thực tế,C2
Ramification,Hệ lụy/Phân nhánh,C2
Rancor,Sự thù oán/Ác ý,C2
Rapacious,Tham lam/Cướp bóc,C2
Recalcitrant,Ngoan cố/Cứng đầu,C2
Recant,Rút lại lời nói/Sám hối,C2
Reclusive,Thích ẩn dật/Tách biệt,C2
Recondite,Khó hiểu/Thâm thúy,C2
Redoubtable,Đáng gờm/Đáng kính sợ,C2
Refractory,Khó chữa/Bướng bỉnh,C2
Repudiate,Bác bỏ/Từ chối,C2
Rescind,Hủy bỏ (luật lệ/hợp đồng),C2
Reticent,Trầm mặc/Kín đáo,C2
Reverence,Sự tôn kính,C2
Rhetoric,Thuật hùng biện,C2
Ribald,Tục tĩu/Lỗ mãng,C2
Sagacious,Thông minh/Minh mẫn,C2
Salient,Nổi bật/Trọng yếu,C2
Cat,Con mèo,A1
Dog,Con chó,A1
Pig,Con lợn,A1
Cow,Con bò,A1
Horse,Con ngựa,A1
Sheep,Con cừu,A1
Chicken,Con gà,A1
Duck,Con vịt,A1
Juice,Nước ép,A1
Sugar,Đường,A1
Salt,Muối,A1
Pepper,Hạt tiêu,A1
Soup,Món súp,A1
Plate,Cái đĩa,A1
Bowl,Cái bát,A1
Fork,Cái nĩa,A1
